"","code","country"
"1",4,"Afghanistan"
"2",8,"Albania"
"3",12,"Algeria"
"4",16,"American Samoa"
"5",20,"Andorra"
"6",24,"Angola"
"7",28,"Antigua"
"8",31,"Azerbaijan"
"9",32,"Argentina"
"10",36,"Australia"
"11",40,"Austria"
"12",48,"Bahrain"
"13",50,"Bangladesh"
"14",51,"Armenia"
"15",52,"Barbados"
"16",56,"Belgium"
"17",60,"Bermuda"
"18",64,"Bhutan"
"19",68,"Bolivia"
"20",70,"Bosnia"
"21",72,"Botswana"
"22",76,"Brazil"
"23",84,"Belize"
"24",100,"Bulgaria"
"25",101,"SrpSka Republic"
"26",104,"Myanmar"
"27",108,"Burundi"
"28",112,"Belarus"
"29",116,"Cambodia"
"30",120,"Cameroon"
"31",124,"Canada"
"32",132,"Cape Verde"
"33",144,"Sri Lanka"
"34",148,"Chad"
"35",152,"Chile"
"36",156,"China"
"37",158,"Taiwan"
"38",170,"Colombia"
"39",180,"D.R. Congo"
"40",184,"Cook Islands"
"41",188,"Costa Rica"
"42",191,"Croatia"
"43",192,"Cuba"
"44",196,"Cyprus"
"45",197,"Cyprus (T)"
"46",203,"Czech Rep."
"47",204,"Benin"
"48",208,"Denmark"
"49",214,"Dominican Rep."
"50",218,"Ecuador"
"51",222,"El Salvador"
"52",226,"Eq.Guinea"
"53",231,"Ethiopia"
"54",232,"Eritrea"
"55",233,"Estonia"
"56",246,"Finland"
"57",250,"France"
"58",268,"Georgia"
"59",270,"Gambia"
"60",275,"Palestine"
"61",276,"Germany"
"62",288,"Ghana"
"63",292,"Gibraltar"
"64",300,"Greece"
"65",320,"Guatemala"
"66",324,"Guinea"
"67",328,"Guyana"
"68",332,"Haiti"
"69",340,"Honduras"
"70",344,"Hong Kong"
"71",348,"Hungary"
"72",352,"Iceland"
"73",356,"India"
"74",360,"Indonesia"
"75",364,"Iran"
"76",368,"Iraq"
"77",372,"Ireland"
"78",376,"Israel"
"79",380,"Italy"
"80",384,"Côte d'Ivoire"
"81",388,"Jamaica"
"82",392,"Japan"
"83",398,"Kazakhstan"
"84",400,"Jordan"
"85",404,"Kenya"
"86",408,"North Korea"
"87",410,"South Korea"
"88",414,"Kuwait"
"89",417,"Kyrgyzstan"
"90",418,"Laos"
"91",422,"Lebanon"
"92",426,"Lesotho"
"93",428,"Latvia"
"94",430,"Liberia"
"95",434,"Libya"
"96",438,"Liechtenstein"
"97",440,"Lithuania"
"98",442,"Luxembourg"
"99",450,"Madagascar"
"100",454,"Malawi"
"101",458,"Malaysia"
"102",466,"Mali"
"103",470,"Malta"
"104",474,"Martinique"
"105",478,"Mauritania"
"106",480,"Mauritius"
"107",484,"Mexico"
"108",492,"Monaco"
"109",496,"Mongolia"
"110",498,"Moldova"
"111",504,"Morocco"
"112",508,"Mozambique"
"113",512,"Oman"
"114",516,"Namibia"
"115",524,"Nepal"
"116",528,"Netherlands"
"117",554,"New Zealand"
"118",558,"Nicaragua"
"119",562,"Niger"
"120",566,"Nigeria"
"121",578,"Norway"
"122",586,"Pakistan"
"123",591,"Panama"
"124",598,"Papua New Guinea"
"125",600,"Paraguay"
"126",604,"Peru"
"127",608,"Philippines"
"128",616,"Poland"
"129",620,"Portugal"
"130",624,"Guinea-Bissau"
"131",626,"Timor-Leste"
"132",630,"Puerto Rico"
"133",634,"Qatar"
"134",642,"Romania"
"135",643,"Russia"
"136",646,"Rwanda"
"137",682,"Saudi Arabia"
"138",686,"Senegal"
"139",690,"Seychelles"
"140",694,"Sierra Leone"
"141",702,"Singapore"
"142",703,"Slovakia"
"143",704,"Viet Nam"
"144",705,"Slovenia"
"145",706,"Somalia"
"146",710,"South Africa"
"147",716,"Zimbabwe"
"148",724,"Spain"
"149",736,"Sudan"
"150",740,"Suriname"
"151",752,"Sweden"
"152",756,"Switzerland"
"153",760,"Syria"
"154",762,"Tajikistan"
"155",764,"Thailand"
"156",768,"Togo"
"157",780,"Trinidad and Tobago"
"158",784,"United Arab Emirates"
"159",788,"Tunisia"
"160",792,"Turkey"
"161",795,"Turkmenistan"
"162",800,"Uganda"
"163",804,"Ukraine"
"164",807,"Macedonia"
"165",818,"Egypt"
"166",826,"Great Britain"
"167",834,"Tanzania"
"168",840,"United States"
"169",850,"U.S. Virgin Islands"
"170",854,"Burkina Faso"
"171",858,"Uruguay"
"172",860,"Uzbekistan"
"173",862,"Venezuela"
"174",887,"Yemen"
"175",891,"Serbia and Montenegro"
"176",894,"Zambia"
"177",900,"West Germany"
"178",901,"East Germany"
"179",902,"Tambov"
"180",903,"Moscow"
"181",904,"Basque Country"
"182",906,"Andalusia"
"183",907,"Galicia"
"184",909,"North Ireland"
"185",910,"Valencia"
"186",911,"Serbia"
"187",912,"Montenegro"
"188",913,"Serbian Bosnia"
"189",914,"Bosnia"
"190",915,"Kosovo"
"191",-5,"Missing; Unknown"
"192",-4,"Not asked in survey"
"193",-3,"Not applicable"
"194",-2,"No answer"
"195",-1,"Don't know"
"196",NA,""
